bubble_sort, bubble_sort_ja_ordenado, bubble_sort_inverso, merge_sort, merge_sort_ja_ordenado, merge_sort_inverso, quickSort, quickSort_ja_ordenado, quickSort_inverso
225000,118943.250000,118424.875000,126858.968750,55.515335,81.301003,-0.018000,28.837999,28.617001,28.742001
226000,116598.914062,104869.273438,118623.421875,69.201332,85.595001,-0.025000,25.221666,31.121000,31.246000
227000,114865.382812,118070.507812,109116.234375,54.084332,36.071999,-0.014000,19.573999,12.711000,12.765000
228000,116395.875000,107256.375000,111745.992188,71.993996,35.557999,-0.011000,25.434334,12.871000,12.768000
229000,114527.531250,113307.195312,118425.296875,63.101330,50.557999,-0.012000,22.655334,12.919000,12.903000
230000,113346.250000,116841.757812,109700.031250,71.174339,36.013000,-0.011000,25.990999,13.162000,13.215000
231000,121412.312500,113480.312500,115112.164062,54.625336,111.005997,-0.040000,19.935333,39.575001,36.536999
232000,117361.148438,115402.765625,109621.117188,72.923668,70.787003,-0.017000,25.118334,25.584999,25.481001
233000,105173.195312,96633.195312,101809.375000,65.090660,89.272003,-0.019000,27.248665,32.368000,32.473000
234000,107219.070312,88904.687500,113501.953125,62.744671,39.855000,-0.016000,24.081335,14.106000,14.216000
235000,117601.914062,121590.718750,110934.289062,52.022003,93.627998,-0.020000,18.920334,33.266998,33.021999
236000,112606.476562,106994.906250,122987.890625,52.417339,91.194000,-0.025000,19.107000,34.026001,38.414001
237000,109675.148438,120208.750000,114078.750000,73.332001,38.234001,-0.006000,27.167334,13.422000,13.657000
238000,117527.007812,110386.132812,112693.554688,51.782333,38.877998,-0.015000,18.946333,18.409000,16.931999
239000,110151.343750,118974.742188,117312.640625,51.827667,37.467999,-0.010000,19.042665,13.576000,13.534000
240000,115526.929688,109221.570312,124688.984375,70.718666,41.726002,-0.012000,24.627668,21.990000,20.528999
241000,114972.812500,124993.109375,118254.242188,67.932999,37.619999,-0.012000,22.831667,13.469000,13.527000
242000,116262.875000,114526.437500,126518.914062,85.788330,79.040001,-0.019000,31.886999,28.431999,28.459000
243000,131548.218750,123336.406250,140409.140625,57.315002,38.585999,-0.016000,20.625666,13.634000,13.649000
244000,128580.132812,131629.687500,128978.359375,66.791664,39.146999,-0.013000,22.258333,14.107000,13.858000
245000,132169.921875,118941.968750,124541.648438,57.078003,91.699997,-0.019000,20.503000,30.350000,28.966000
246000,124120.812500,128098.703125,133208.703125,50.772335,98.375999,-0.022000,18.218332,39.346001,39.361000
247000,128629.281250,115614.945312,126579.054688,38.391331,91.418999,-0.021000,14.039333,31.613001,33.091000
248000,131306.203125,139894.468750,132513.468750,81.769997,40.428001,-0.011000,31.136999,21.271999,22.528999
